URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://dvmd.de/fhir/ValueSet/kdl,2025,active,"1.2.276.0.76.11.469",ValueSetKDL,ValueSet Klinische Dokumentenklassen-Liste (Version 2025),"ValueSets sind Listen von Codes, die in einem bestimmten Kontext verwendet werden. Durch sog. &quot;Terminology-Binding&quot; können Attribute von FHIR-Ressourcen an ValueSets gebunden werden, um die Menge der zulässigen Werte für dieses Attribut einzuschränken.  Dieses ValueSet enthält sämtliche Codes aus dem CodeSystem &quot;KDL&quot; und ist für Bindings an Attribute geeignet, an denen alle Werte aus dem CodeSystem &quot;KDL&quot; erlaubt werden sollen.  Beispiel: DocumentReference.type","StructureDefinition/ISiKDokumentenMetadaten","dvmd.kdl.r4"
http://fhir.de/ValueSet/kontaktart-de,1.5.4,active,,KontaktartDe,KontaktartDe ValueSet,"Kontaktarten für die Codierung von Encounter.type","StructureDefinition/ISiKKontaktGesundheitseinrichtung","de.basisprofil.r4"
http://fhir.de/ValueSet/kontaktebene-de,1.5.4,active,,KontaktebeneDe,KontaktebeneDe ValueSet,"Kontaktebene für die Codierung von Encounter.type","StructureDefinition/ISiKKontaktGesundheitseinrichtung","de.basisprofil.r4"
http://fhir.de/ValueSet/pflegegrad-de,1.5.4,active,,PflegegradDE,PflegegradDE ValueSet,"Codes zur genaueren Differenzierung des Pflegegrads.",,"de.basisprofil.r4"
http://gefyra.info/training/ValueSet/ConditionDiagnosisSeverity,0.1.0,active,,ConditionDiagnosisSeverity,,"Enthaelt alle SNOMED DiagnosisSeverity Codes",,"SCT"
http://gefyra.info/training/ValueSet/DiagnosesSCT,0.1.0,active,,DiagnosesSCT,,"Enthaelt alle SNOMED Clinical finding, Event und Situation with explicit context codes",,"SCT"
http://gefyra.info/training/ValueSet/EncounterReasonCodes,0.1.0,active,,EncounterReasonCodes,,"Enthaelt alle SNOMED Reason Codes",,"SCT"
http://gefyra.info/training/ValueSet/FhirMimeTypeVS,0.1.0,active,,FhirMimeTypeVS,FhirMimeTypeVS,"FHIR Mime Types","StructureDefinition/ISiKSubscription","Other"
http://gefyra.info/training/ValueSet/ISiKAccountType,0.1.0,active,,ISiKAccountType,ISiKAccountType,"",,"THO (V3)"
http://gefyra.info/training/ValueSet/ISiKBehandlungsergebnisReha,0.1.0,active,,ISiKBehandlungsergebnisRehaVS,,"Behandlungsergebnis Reha gemäß §301(4 UND 4A) SGB V. Diagnosenbezogene Bewertung des Behandlungsergebnisses für einen Versicherten/Berechtigten bei Entlassung aus der Reha-Maßnahme bzw. Stellung eines Antrags auf Verlängerung. Vgl. Schlüsseltabelle 2.71 Diagnose - Behandlungsergebnis.","StructureDefinition/ExtensionISiKRehaEntlassung","Internal"
http://gefyra.info/training/ValueSet/ISiKBesondereBehandlungsformReha,0.1.0,active,,ISiKBesondereBehandlungsformRehaVS,,"Besondere Behandlungsform der Reha gemäß §301(4 UND 4A) SGB V. Vgl. Schlüsseltabelle 2.51 Besondere Behandlungsformen.","StructureDefinition/ExtensionISiKRehaEntlassung","Internal"
http://gefyra.info/training/ValueSet/ISiKConfidentialityCodes,0.1.0,active,,ISiKConfidentialityCodes,ISiKConfidentialityCodes,"Vertraulichkeitsstufen","StructureDefinition/ISiKDokumentenMetadaten","THO (V3)"
http://gefyra.info/training/ValueSet/ISiKEntlassformReha,0.1.0,active,,ISiKEntlassformRehaVS,,"ISiK Entlassform Reha. Beschreibt Form und ggf. Weiterbehandlung der Entlassung eines Versicherten/Berechtigten aus verwaltungs- und medizinischer Sicht. Vgl. Schlüsseltabelle 2.107 Entlassungsform.","StructureDefinition/ExtensionISiKRehaEntlassung","Internal"
http://gefyra.info/training/ValueSet/ISiKKernTempSctVS,0.1.0,active,,ISiKKernTempSctVS,ISiK  Kerntemperatur SnomedCT ValueSet,"ValueSet der Körperkerntemperatur SnomedCT Konzepte","StructureDefinition/ISiKKoerperkerntemperatur","SCT"
http://gefyra.info/training/ValueSet/ISiKLocationPhysicalType,0.1.0,active,,ISiKLocationPhysicalType,,"","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO"
http://gefyra.info/training/ValueSet/ISiKMDRRelevanzFormularVS,0.1.0,active,,ISiKMDRRelevanzFormularVS,,"","StructureDefinition/ISiKMDRRelevanzFormularExtension","Internal"
http://gefyra.info/training/ValueSet/ISiKMedikationsartVS,0.1.0,active,,ISiKMedikationsartVS,,"ISiK Therapiearten für Medikation","StructureDefinition/ExtensionISiKMedikationsart","Internal"
http://gefyra.info/training/ValueSet/ISiKSpecificGenericTempLoincVS,0.1.0,active,,ISiKSpecificGenericTempLoincVS,ISiK Specific Generische Koerpertemperatur LOINC Konzepte,"ValueSet der spezifischen generischen Körperkerntemperatur LOINC Konzepte die nicht dazu dienen eine Körperkerntemperatur zu messen","StructureDefinition/sd-mii-icu-koerpertemperatur-generisch","LOINC"
http://gefyra.info/training/ValueSet/ISiKSpecificKernTempLoincVS,0.1.0,active,,ISiKSpecificKernTempLoincVS,ISiK Specific Kerntemperatur LOINC ValueSet,"ValueSet der spezifischen Körperkerntemperatur LOINC Konzepte","StructureDefinition/ISiKKoerperkerntemperatur","LOINC"
http://gefyra.info/training/ValueSet/ISiKSubscriptionTopicVS,0.1.0,active,,ISiKSubscriptionTopicVS,ISiKSubscriptionTopic ValueSet,"ValueSet, das alle Codes des ISiKSubscriptionTopic CodeSystems enthält","StructureDefinition/ISiKSubscription","Internal"
http://gefyra.info/training/ValueSet/ISiKTerminCancelationReason,0.1.0,active,,ISiKTerminCancelationReason,,"Enthaelt alle erlaubten Gruende fuer eine Stornierung eines ISiKTermins","StructureDefinition/ISiKTermin","THO"
http://gefyra.info/training/ValueSet/ISiKTerminPriority,0.1.0,active,,ISiKTerminPriority,,"Enthaelt alle SNOMED Codes, die eine valide Priorität für den ISiKTermin sind","StructureDefinition/ISiKTerminPriorityExtension","SCT"
http://gefyra.info/training/ValueSet/ISiKUnterbrechungReha,0.1.0,active,,ISiKUnterbrechungRehaVS,,"ISiK Unterbrechung Reha. Dokumentiert die relevanten Gründe einer Unterbrechung einer Rehabilitationsmaßnahme im Einzelfall. Vgl. Schlüsseltabelle 2.111 Erläuterung zur Unterbrechung.","StructureDefinition/ExtensionISiKRehaEntlassung","Internal"
http://gefyra.info/training/ValueSet/MedikationsListeListModeVS,0.1.0,active,,MedikationsListeListModeVS,Medikationslisten-Modes,"Erlaubte ListModes der ISiK MedikationsListe","StructureDefinition/ISiKMedikationsListe","hl7.fhir.r4.core"
http://gefyra.info/training/ValueSet/ObservationCodesCRP,0.1.0,active,,ObservationCodesCRP,,"Enthält LOINC-Codes für die Observation CRP","StructureDefinition/ISiKLaboruntersuchungCRP","LOINC"
http://gefyra.info/training/ValueSet/ObservationCodesGFR,0.1.0,active,,ObservationCodesGFR,,"Enthält LOINC-Codes für die Observation GFR","StructureDefinition/ISiKLaboruntersuchungGFR","LOINC"
http://gefyra.info/training/ValueSet/ObservationCodesHb,0.1.0,active,,ObservationCodesHb,,"Enthält LOINC-Codes für die Observation Hb","StructureDefinition/ISiKLaboruntersuchungHb","LOINC"
http://gefyra.info/training/ValueSet/ObservationCodesPCT,0.1.0,active,,ObservationCodesPCT,,"Enthält LOINC-Codes für die Observation PCT","StructureDefinition/ISiKLaboruntersuchungPCT","LOINC"
http://gefyra.info/training/ValueSet/ObservationCodesSerumkreatinin,0.1.0,active,,ObservationCodesSerumkreatinin,,"Enthält LOINC-Codes für die Observation Serumkreatinin","StructureDefinition/ISiKLaboruntersuchungSerumkreatinin","LOINC"
http://gefyra.info/training/ValueSet/ObservationCodesTSH,0.1.0,active,,ObservationCodesTSH,,"Enthält LOINC-Codes für die Observation TSH","StructureDefinition/ISiKLaboruntersuchungTSH","LOINC"
http://gefyra.info/training/ValueSet/ObservationCodesThrombozyten,0.1.0,active,,ObservationCodesThrombozyten,,"Enthält LOINC-Codes für die Observation Thrombozyten","StructureDefinition/ISiKLaboruntersuchungThrombozyten","LOINC"
http://gefyra.info/training/ValueSet/ObservationCodesTroponin,0.1.0,active,,ObservationCodesTroponin,,"Enthält LOINC-Codes für die Observation Troponin","StructureDefinition/ISiKLaboruntersuchungTroponin","LOINC"
http://gefyra.info/training/ValueSet/ObservationUnitsCRP,0.1.0,active,,ObservationUnitsCRP,,"Enthält UCUM-Einheiten für die Observation CRP","StructureDefinition/ISiKLaboruntersuchungCRP","UCUM"
http://gefyra.info/training/ValueSet/ObservationUnitsGFR,0.1.0,active,,ObservationUnitsGFR,,"Enthält UCUM-Einheiten für die Observation GFR","StructureDefinition/ISiKLaboruntersuchungGFR","UCUM"
http://gefyra.info/training/ValueSet/ObservationUnitsHb,0.1.0,active,,ObservationUnitsHb,,"Enthält UCUM-Einheiten für die Observation Hb","StructureDefinition/ISiKLaboruntersuchungHb","UCUM"
http://gefyra.info/training/ValueSet/ObservationUnitsPCT,0.1.0,active,,ObservationUnitsPCT,,"Enthält UCUM-Einheiten für die Observation PCT","StructureDefinition/ISiKLaboruntersuchungPCT","UCUM"
http://gefyra.info/training/ValueSet/ObservationUnitsSerumkreatinin,0.1.0,active,,ObservationUnitsSerumkreatinin,,"Enthält UCUM-Einheiten für die Observation Serumkreatinin","StructureDefinition/ISiKLaboruntersuchungSerumkreatinin","UCUM"
http://gefyra.info/training/ValueSet/ObservationUnitsTSH,0.1.0,active,,ObservationUnitsTSH,,"Enthält UCUM-Einheiten für die Observation TSH","StructureDefinition/ISiKLaboruntersuchungTSH","UCUM"
http://gefyra.info/training/ValueSet/ObservationUnitsThrombozyten,0.1.0,active,,ObservationUnitsThrombozyten,,"Enthält UCUM-Einheiten für die Observation Thrombozyten","StructureDefinition/ISiKLaboruntersuchungThrombozyten","UCUM"
http://gefyra.info/training/ValueSet/ObservationUnitsTroponin,0.1.0,active,,ObservationUnitsTroponin,,"Enthält UCUM-Einheiten für die Observation Troponin","StructureDefinition/ISiKLaboruntersuchungTroponin","UCUM"
http://gefyra.info/training/ValueSet/ProzedurenCodesSCT,0.1.0,active,,ProzedurenCodesSCT,,"Enthaelt alle SNOMED Procedure Codes",,"SCT"
http://gefyra.info/training/ValueSet/ProzedurenKategorieSCT,0.1.0,active,,ProzedurenKategorieSCT,,"Enthaelt alle SNOMED Codes für ein Mapping der OPS Klassentitel",,"SCT"
http://gefyra.info/training/ValueSet/SchwangerschaftEtMethodeVS,0.1.0,active,,SchwangerschaftEtMethodeVS,Schwangerschaft Erwarteter Entbindungstermin Methode,"","StructureDefinition/ISiKSchwangerschaftErwarteterEntbindungstermin","LOINC"
http://gefyra.info/training/ValueSet/SchwangerschaftsstatusVS,0.1.0,active,,SchwangerschaftsstatusVS,Schwangerschaftsstatus Valueset,"","StructureDefinition/ISiKSchwangerschaftsstatus","LOINC"
http://gefyra.info/training/ValueSet/SctRouteOfAdministration,0.1.0,active,,SctRouteOfAdministration,,"Enthaelt alle SNOMED CT Administrationsarten","StructureDefinition/ISiKMedikationsVerordnung,StructureDefinition/ISiKMedikationsVerabreichung,StructureDefinition/ISiKMedikationsInformation","SCT"
http://gefyra.info/training/ValueSet/StillstatusVS,0.1.0,active,,StillstatusVS,Stillstatus LOINC Antwortoptionen,"Dieses Valueset enthält die Codes zur Beschreibung von Stillstatus LOINC.","StructureDefinition/ISiKStillstatus","LOINC"
http://gefyra.info/training/ValueSet/current-smoking-status-uv-ips,0.1.0,active,,CurrentSmokingStatusUvIps,Current Smoking Status - IPS,"HL7 LOINC value set for smoking status.  Based on the HL7 Vocab and Structured Doc WG (formerly TC) consensus - per US CDC submission 7/12/2012 for smoking status terms.","StructureDefinition/ISiKRaucherStatus","LOINC"
http://gefyra.info/training/ValueSet/vs-mii-icu-bodysite-observation-blutdruck,0.1.0,active,,VS_MII_ICU_BodySite_Observation_Blutdruck,VS MII ICU BodySite Observation Blutdruck,"Dieses ValueSet enthält Codes für bodySites von Blutdrücken (pulsatilen Drücken).","StructureDefinition/sd-mii-icu-sonstige-pulsatile-druecke-generisch","SCT"
http://gefyra.info/training/ValueSet/vs-mii-icu-bodysite-observation-monitoring-und-vitaldaten,0.1.0,active,,VS_MII_ICU_BodySite_Observation_Monitoring_und_Vitaldaten,VS MII ICU BodySite Observation Monitoring und Vitaldaten,"Dieses ValueSet enthält Codes für bodySites von Vitaldaten sowie Daten aus dem Patientenmonitoring.","StructureDefinition/sd-mii-icu-monitoring-und-vitaldaten","SCT"
http://gefyra.info/training/ValueSet/vs-mii-icu-code-monitoring-und-vitaldaten-iso11073,0.1.0,active,,VS_MII_ICU_Code_Monitoring_und_Vitaldaten_ISO11073,VS MII ICU Code Monitoring und Vitaldaten [ISO11073],"Dieses ValueSet enthält Codes für Vitaldaten sowie Daten aus dem Patientenmonitoring.","StructureDefinition/sd-mii-icu-monitoring-und-vitaldaten","hl7.terminology.r4"
http://gefyra.info/training/ValueSet/vs-mii-icu-code-monitoring-und-vitaldaten-loinc,0.1.0,active,,VS_MII_ICU_Code_Monitoring_und_Vitaldaten_LOINC,VS MII ICU Code Monitoring und Vitaldaten [LOINC],"Dieses ValueSet enthält Codes für Vitaldaten sowie Daten aus dem Patientenmonitoring.","StructureDefinition/sd-mii-icu-monitoring-und-vitaldaten","LOINC"
http://gefyra.info/training/ValueSet/vs-mii-icu-code-monitoring-und-vitaldaten-snomed,0.1.0,active,,VS_MII_ICU_Code_Monitoring_und_Vitaldaten_SNOMED,VS MII ICU Code Monitoring und Vitaldaten [sct],"Dieses ValueSet enthaelt Codes fuer Vitaldaten sowie Daten aus dem Patientenmonitoring.","StructureDefinition/sd-mii-icu-monitoring-und-vitaldaten","SCT"
http://gefyra.info/training/ValueSet/vs-mii-icu-method-observation-blutdruck,0.1.0,active,,VS_MII_ICU_Method_Observation_Blutdruck,VS MII ICU Method Observation Blutdruck,"Dieses ValueSet enthält Codes zur Angabe, ob ein Blutdruck invasiv oder nicht-invasiv gemessen ist. ","StructureDefinition/sd-mii-icu-sonstige-pulsatile-druecke-generisch","SCT"
http://hl7.org/fhir/ValueSet/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.241",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","OperationDefinition/UpdateMetadata","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/organization-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.414",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/ISiKOrganisation","THO"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/ISiKValueSet","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/risk-probability,4.0.1,draft,"2.16.840.1.113883.4.642.3.450",RiskProbability,Risk Probability,"Codes representing the likelihood of a particular outcome in a risk assessment.","StructureDefinition/ISiKAMTSBewertung","THO"
http://hl7.org/fhir/ValueSet/subscription-notification-type,0.1.0,active,"2.16.840.1.113883.4.642.3.1523",SubscriptionNotificationTypeVS,SubscriptionNotificationType,"The type of notification represented by the status message.","StructureDefinition/BackportSubscriptionStatusR4Fixed","Internal"
http://hl7.org/fhir/ValueSet/subscription-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.502",SubscriptionStatus,SubscriptionStatus,"The status of a subscription.","StructureDefinition/BackportSubscriptionStatusR4Fixed","hl7.fhir.r4.core"
http://hl7.org/fhir/uv/ips/ValueSet/medicine-doseform,1.1.0,active,,MedicineDoseFormUvIps,Medicine Doseform - IPS,"EDQM (European Directorate for the Quality of Medicines and Healthcare) Dose Form codes.  This Value Set includes all the EDQM Standard Terms having:   [Concept Status] = ‘Current’ AND   [Concept Class] IN (‘PDF’, ‘CMT’, ‘CDF’, ‘PFT') AND   [Domain] = 'Human and Veterinary'    PDF = 'Pharmaceutical dose form'; CMT = 'Combined terms'; CDF = 'Combined pharmaceutical dose form'; PFT = 'Patient Friendly'","StructureDefinition/ISiKMedikament","Other"
http://hl7.org/fhir/uv/ips/ValueSet/medicine-route-of-administration,1.1.0,active,,MedicineRouteOfAdministrationUvIps,Medicine Route of Administration - IPS,"EDQM (European Directorate for the Quality of Medicines and Healthcare) Route of Administration codes.  This Value Set includes all the EDQM Standard Terms having:   [Concept Status] = ‘Current’ AND   [Concept Class] = 'ROA' AND   [Domain] = 'Human and Veterinary'    ROA = 'Route of administration'","StructureDefinition/ISiKMedikationsVerordnung,StructureDefinition/ISiKMedikationsVerabreichung,StructureDefinition/ISiKMedikationsInformation","Other"
http://ihe-d.de/ValueSets/IHEXDSclassCode,2021-06-25T13:44:47,active,"1.2.276.0.76.11.32",IHEXDSclassCode,IHE XDS classCode,"**classCode (XDSDocumentEntry)**   A high-level classification of XDS Documents that indicates the kind of document, e.g., report, summary, note, consent.","StructureDefinition/ISiKDokumentenMetadaten","de.ihe-d.terminology,LOINC"
http://ihe-d.de/ValueSets/IHEXDSeventCodeList,2021-07-06T21:19:41,active,"1.2.276.0.76.11.34",IHEXDSeventCodeList,IHE XDS eventCodeList,"**eventCodeList (XDSDocumentEntry)**  This list of codes represents the main clinical acts being documented in an XDS Document.","StructureDefinition/ISiKDokumentenMetadaten","ihe.formatcode.fhir,de.ihe-d.terminology"
http://ihe-d.de/ValueSets/IHEXDSformatCodeDE,2018-12-14T17:07:12,active,"1.2.276.0.76.11.35",IHEXDSformatCodeDE,IHE XDS formatCode,"**formatCode (XDSDocumentEntry)**  Globally unique code specifying the format of an XDS Document. Along with the typeCode, it should provide sufficient information to allow a potential consumer to know if it will be able to process the document.","StructureDefinition/ISiKDokumentenMetadaten","de.ihe-d.terminology"
http://ihe-d.de/ValueSets/IHEXDShealthcareFacilityTypeCode,2021-07-06T21:23:52,active,"1.2.276.0.76.11.36",IHEXDShealthcareFacilityTypeCode,IHE XDS healthcareFacilityTypeCode,"**healthcareFacilityTypeCode (XDSDocumentEntry)**  This code for an XDS Document represents the type of organizational setting of the clinical encounter during which the documented act occurred.","StructureDefinition/ISiKDokumentenMetadaten,StructureDefinition/ISiKOrganisation",
http://ihe-d.de/ValueSets/IHEXDSpracticeSettingCode,2019-05-17T13:46:31,active,"1.2.276.0.76.11.37",IHEXDSpracticeSettingCode,IHE XDS practiceSettingCode,"**practiceSettingCode (XDSDocumentEntry)**  The code for an XDS Document that specifies the clinical specialty where the act that resulted in the document was performed (e.g., Family Practice, Laboratory, Radiology).","StructureDefinition/ISiKTermin,StructureDefinition/ISiKDokumentenMetadaten,StructureDefinition/ISiKMedizinischeBehandlungseinheit,StructureDefinition/ISiKKalender,StructureDefinition/ISiKOrganisationFachabteilung",
http://ihe-d.de/ValueSets/IHEXDStypeCode,2020-02-07T07:55:58,active,"1.2.276.0.76.11.38",IHEXDStypeCode,IHE XDS typeCode,"**typeCode (XDSDocumentEntry)**  A low-level classification of XDS Documents within a classCode that describes class, event, specialty, and setting.","StructureDefinition/ISiKDokumentenMetadaten","de.ihe-d.terminology,LOINC"
http://terminology.hl7.org/ValueSet/conformance-expectation,1.0.0,draft,"2.16.840.1.113883.4.642.3.919",ConformanceExpectation,ConformanceExpectation,"Indicates the degree of adherence to a specified behavior or capability expected for a system to be deemed conformant with a specification.","StructureDefinition/ExtensionISiKCapabilityStatementImportsExpectation","THO"
http://terminology.hl7.org/ValueSet/v2-0116,2.0.0,active,"2.16.840.1.113883.21.51",Hl7VSBedStatus,hl7VS-bedStatus,"Value Set of codes that specify the state of a bed in an inpatient setting, and is used to determine if a patient may be assigned to it or not.","StructureDefinition/ISiKStandortRaum,StructureDefinition/ISiKStandortBettenstellplatz","THO (V2)"
http://terminology.hl7.org/ValueSet/yes-no-unknown-not-asked,1.0.0,active,,YesNoUnknownNotAsked,Yes No Unknown NotAsked,"This value set contains 4 concepts commonly used as answers to items in a questionnaire.","StructureDefinition/ISiKAlkoholAbusus","THO (V2)"
https://gematik.de/fhir/terminology/ValueSet/ti-medication-snomed-ct-vs,1.0.5-3,active,,TIMedicationSNOMEDCTVS,TI Arzneimittel SNOMED CT ValueSet,"Dieses Valueset enthält die Codes für die Abbilung von Arzneimitteln in SNOMED CT.","StructureDefinition/ISiKMedikament","SCT"
